training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
704 1.74345e+00 1.30345e+00
705 1.70546e+00 1.30343e+00
706 1.84577e+00 1.30340e+00
707 1.71059e+00 1.30339e+00
708 1.70809e+00 1.30336e+00
709 1.66346e+00 1.30334e+00
710 1.72364e+00 1.30332e+00
711 1.80162e+00 1.30330e+00
712 1.68943e+00 1.30328e+00
713 1.68704e+00 1.30326e+00
714 1.76153e+00 1.30325e+00
715 1.63924e+00 1.30323e+00
716 1.68491e+00 1.30323e+00
717 1.73189e+00 1.30322e+00
718 1.69216e+00 1.30321e+00
719 1.74449e+00 1.30319e+00
720 1.74326e+00 1.30317e+00
721 1.66284e+00 1.30318e+00
722 1.77820e+00 1.30317e+00
723 1.61831e+00 1.30315e+00
724 1.73991e+00 1.30313e+00
725 1.71615e+00 1.30313e+00
726 1.57101e+00 1.30311e+00
727 1.68254e+00 1.30310e+00
728 1.63684e+00 1.30308e+00
729 1.70884e+00 1.30306e+00
730 1.75175e+00 1.30304e+00
731 1.76569e+00 1.30302e+00
732 1.71373e+00 1.30301e+00
733 1.66714e+00 1.30301e+00
734 1.60142e+00 1.30301e+00
735 1.78429e+00 1.30299e+00
736 1.68889e+00 1.30299e+00
737 1.70899e+00 1.30297e+00
738 1.63381e+00 1.30296e+00
739 1.75074e+00 1.30295e+00
740 1.73828e+00 1.30296e+00
741 1.74145e+00 1.30296e+00
742 1.64065e+00 1.30294e+00
743 1.70758e+00 1.30293e+00
744 1.62845e+00 1.30293e+00
745 1.75529e+00 1.30294e+00
746 1.60747e+00 1.30293e+00
